Date,Last trade price,Max,Min,1 Day SMA,1 Week SMA,1 Month SMA,1 Day SMA Signals,1 Week SMA Signals,1 Month SMA Signals,1 Day EMA,1 Week EMA,1 Month EMA,1 Day EMA Signals,1 Week EMA Signals,1 Month EMA Signals,1 Day HMA,1 Week HMA,1 Month HMA,1 Day HMA Signals,1 Week HMA Signals,1 Month HMA Signals,1 Day WMA,1 Week WMA,1 Month WMA,1 Day WMA Signals,1 Week WMA Signals,1 Month WMA Signals,1 Day TEMA,1 Week TEMA,1 Month TEMA,1 Day TEMA Signals,1 Week TEMA Signals,1 Month TEMA Signals,1 Day RSI,1 Week RSI,1 Month RSI,1 Day RSI Signals,1 Week RSI Signals,1 Month RSI Signals,1 Day STOCH,1 Week STOCH,1 Month STOCH,1 Day STOCH Signals,1 Week Signals,1 Week STOCH Signals,1 Month Signals,1 Month STOCH Signals,1 Day CCI,1 Week CCI,1 Month CCI,1 Day CCI Signals,1 Week CCI Signals,1 Month CCI Signals,1 Day CMO,1 Week CMO,1 Month CMO,1 Day CMO Signals,1 Week CMO Signals,1 Month CMO Signals,1 Day Williams %R,1 Week Williams %R,1 Month Williams %R,1 Day Williams %R Signals,1 Week Williams %R Signals,1 Month Williams %R Signals
04/17/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.00000000000001,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.00000000000001,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
04/18/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
04/19/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.00000000000001,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.00000000000001,Hold,Sell,Sell,,,,Hold,Hold,Hold
04/22/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,99.99999999999999,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,99.99999999999999,Hold,Sell,Sell,,,,Hold,Hold,Hold
04/23/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
04/25/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,99.99999999999999,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,99.99999999999999,Hold,Sell,Sell,,,,Hold,Hold,Hold
04/26/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
04/29/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
04/30/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
05/02/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
05/07/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,99.99999999999999,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,99.99999999999999,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
05/09/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
05/10/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
05/13/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
05/14/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
05/15/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,99.99999999999999,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,99.99999999999999,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
05/16/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
05/17/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
05/20/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
05/21/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.00000000000001,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.00000000000001,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
05/22/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,99.99999999999999,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,99.99999999999999,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
05/23/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
05/27/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
05/28/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
05/29/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
05/30/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
05/31/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
06/03/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
06/04/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
06/05/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,99.99999999999999,100.00000000000001,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,99.99999999999999,100.00000000000001,Hold,Sell,Sell,,,,Hold,Hold,Hold
06/06/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.00000000000001,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.00000000000001,Hold,Sell,Sell,,,,Hold,Hold,Hold
06/07/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
06/10/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
06/11/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.00000000000001,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.00000000000001,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
06/12/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
06/13/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
06/14/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
06/17/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
06/18/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
06/19/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
06/20/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
06/24/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
06/25/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.00000000000001,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.00000000000001,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
06/26/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
06/27/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
06/28/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
07/01/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
07/02/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
07/03/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
07/04/2024,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1799.9999999999995,1799.9999999999982,Hold,Buy,Buy,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0,1800.0,Hold,Hold,Hold,1800.0,1800.0000000000002,1799.9999999999982,Hold,Sell,Buy,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,100.0,Hold,Sell,Sell,,,,Hold,Hold,Hold
